date,station,pm25,pm10,no2,o3,aqi,so2,co
2024-09-08,Colaba,73.6,122.1,29.7,35.7,73.6,,
2024-09-08,Kurla,42.9,73.8,14.9,18.5,42.9,,
2024-09-08,Powai,30.6,48.0,18.8,40.9,61.4,,
2024-09-09,Bandra,44.3,60.5,27.4,48.7,73.0,,
2024-09-09,Colaba,81.0,105.6,35.5,42.4,81.0,,
2024-09-09,Kurla,85.0,101.7,22.2,30.7,85.0,,
2024-09-09,Powai,36.2,62.3,29.3,41.1,61.6,,
2024-09-10,Bandra,59.1,89.7,31.8,13.0,63.6,,
2024-09-10,Colaba,58.7,92.0,27.6,45.1,67.6,,
2024-09-10,Kurla,89.2,123.7,32.7,37.2,89.2,,
2024-09-10,Powai,45.1,68.5,31.0,32.6,62.1,,
2024-09-11,Bandra,72.5,111.4,20.3,41.5,72.5,,
2024-09-11,Colaba,20.1,53.9,34.8,25.5,69.6,,
2024-09-11,Kurla,65.6,90.5,18.2,33.0,65.6,,
2024-09-11,Powai,75.2,87.8,20.1,58.8,88.2,,
2024-09-12,Bandra,98.1,144.3,42.8,38.1,98.1,,
2024-09-12,Colaba,32.6,46.4,36.8,37.5,73.5,,
2024-09-12,Kurla,51.5,67.9,17.2,48.4,72.7,,
2024-09-12,Powai,62.1,89.0,30.0,39.0,62.1,,
2024-10-01,Bandra,75.6,100.1,18.5,40.0,75.6,,
2024-10-01,Colaba,64.2,74.6,14.4,42.4,64.2,,
2024-10-01,Kurla,84.5,111.9,27.8,33.2,84.5,,
2024-10-01,Powai,62.0,87.2,10.8,13.2,62.0,,
2024-10-02,Bandra,97.5,138.3,21.4,55.4,97.5,,
2024-10-02,Colaba,40.5,78.4,34.3,30.2,68.5,,
2024-10-02,Kurla,21.0,52.4,10.5,49.1,73.7,,
2024-10-02,Powai,77.5,97.8,24.4,36.4,77.5,,
2024-10-03,Bandra,57.9,86.2,25.6,53.9,80.9,,
2024-10-03,Colaba,64.0,88.0,25.6,35.4,64.0,,
2024-10-03,Kurla,41.0,64.2,18.8,50.0,74.9,,
2024-10-03,Powai,42.9,73.2,30.2,20.4,60.4,,
2024-10-04,Bandra,86.1,99.5,33.3,53.5,86.1,,
2024-10-04,Colaba,28.1,52.1,25.0,40.6,60.8,,
2024-10-04,Kurla,38.2,76.5,32.3,21.5,64.6,,
2024-10-04,Powai,57.7,90.3,23.8,24.8,57.7,,
2024-10-05,Bandra,79.1,114.2,30.8,46.2,79.1,,
2024-10-05,Colaba,26.6,62.0,19.7,46.8,70.3,,
2024-10-05,Kurla,52.2,78.1,21.2,24.9,52.2,,
2024-10-05,Powai,76.5,108.1,14.8,42.5,76.5,,
2024-10-06,Bandra,53.4,89.5,20.6,38.0,57.1,,
2024-10-06,Colaba,55.1,82.4,3.4,39.3,59.0,,
2024-10-06,Kurla,66.4,98.4,14.8,43.4,66.4,,
2024-10-06,Powai,103.7,126.8,38.0,44.6,103.7,,
2024-10-07,Bandra,22.7,62.7,19.5,49.5,74.2,,
2024-10-07,Colaba,83.0,106.0,24.7,61.2,91.9,,
2024-10-07,Kurla,84.4,124.9,32.0,36.2,84.4,,
2024-10-07,Powai,62.7,121.9,23.5,26.4,62.7,,
2024-10-08,Bandra,73.7,90.0,34.7,43.1,73.7,,
2024-10-08,Colaba,71.8,112.9,31.6,46.1,71.8,,
2024-10-08,Kurla,52.3,81.1,21.8,25.8,52.3,,
2024-10-08,Powai,47.2,83.8,33.2,47.2,70.8,,
2024-10-09,Bandra,55.4,99.9,14.3,48.3,72.5,,
2024-10-09,Colaba,101.5,124.6,38.9,42.4,101.5,,
2024-10-09,Kurla,67.6,109.9,20.2,11.3,67.6,,
2024-10-09,Powai,43.0,73.0,12.7,53.8,80.7,,
2024-10-10,Bandra,47.9,80.0,34.6,34.1,69.2,,
2024-10-10,Colaba,92.3,126.8,23.0,51.6,92.3,,
2024-10-10,Kurla,75.0,107.8,17.4,43.8,75.0,,
2024-10-10,Powai,42.9,66.8,33.9,40.2,67.9,,
2024-10-11,Bandra,99.1,124.0,16.5,57.8,99.1,,
2024-10-11,Colaba,93.5,127.6,19.4,39.3,93.5,,
2024-10-11,Kurla,50.4,84.0,43.8,31.4,87.6,,
2024-10-11,Powai,89.0,128.3,23.6,41.0,89.0,,
2024-10-12,Bandra,65.9,80.7,36.8,26.0,73.6,,
2024-10-12,Colaba,46.6,87.0,20.2,61.9,92.9,,
2024-10-12,Kurla,33.9,47.9,20.0,48.8,73.2,,
2024-10-12,Powai,64.1,77.9,40.1,38.0,80.2,,
2024-11-01,Bandra,56.6,82.1,30.6,51.5,77.2,,
2024-11-01,Colaba,74.8,106.5,24.1,36.4,74.8,,
2024-11-01,Kurla,23.6,56.3,9.7,39.2,58.8,,
2024-11-01,Powai,64.5,88.9,20.6,48.4,72.5,,
2024-11-02,Bandra,61.4,99.9,28.9,29.8,61.4,,
2024-11-02,Colaba,79.3,113.4,31.6,62.8,94.1,,
2024-11-02,Kurla,58.1,92.3,18.1,55.4,83.0,,
2024-11-02,Powai,39.9,73.5,20.7,47.9,71.8,,
2024-11-03,Bandra,41.5,73.8,32.8,46.0,69.0,,
2024-11-03,Colaba,62.3,98.9,37.7,25.1,75.4,,
2024-11-03,Kurla,78.0,112.5,34.5,25.9,78.0,,
2024-11-03,Powai,69.6,89.1,31.6,28.4,69.6,,
2024-11-04,Bandra,38.2,64.1,16.2,37.4,56.1,,
2024-11-04,Colaba,51.0,87.2,16.5,38.3,57.4,,
2024-11-04,Kurla,91.8,127.5,36.2,23.9,91.8,,
2024-11-04,Powai,69.7,80.2,8.6,48.9,73.3,,
2024-11-05,Bandra,47.2,81.5,31.4,49.1,73.6,,
2024-11-05,Colaba,44.7,56.7,12.0,40.6,60.9,,
2024-11-05,Kurla,57.4,81.8,1.6,64.6,97.0,,
2024-11-05,Powai,81.3,107.5,35.8,55.5,83.3,,
2024-11-06,Bandra,60.8,80.8,30.9,33.8,61.9,,
2024-11-06,Colaba,55.4,92.3,39.8,53.5,80.3,,
2024-11-06,Kurla,43.4,67.0,18.5,27.2,43.4,,
2024-11-06,Powai,70.0,83.1,23.6,30.2,70.0,,
2024-11-07,Bandra,20.6,59.5,15.3,48.8,73.2,,
2024-11-07,Colaba,47.5,95.6,30.7,33.3,61.3,,
2024-11-07,Kurla,48.6,81.9,32.5,37.3,64.9,,
2024-11-07,Powai,65.5,74.7,24.3,40.2,65.5,,
2024-11-08,Bandra,52.6,84.0,10.8,44.9,67.4,,
2024-11-08,Colaba,81.3,123.0,36.1,47.8,81.3,,
2024-11-08,Kurla,52.0,84.7,24.6,42.2,63.3,,
2024-11-08,Powai,92.4,126.5,15.3,56.4,92.4,,
2024-11-09,Bandra,47.9,95.1,40.9,30.8,81.9,,
2024-11-09,Colaba,47.0,72.1,22.4,45.1,67.6,,
2024-11-09,Kurla,51.8,90.9,29.3,45.1,67.7,,
2024-11-09,Powai,55.9,97.1,20.8,33.7,55.9,,
2024-11-10,Bandra,22.5,58.7,19.9,25.7,39.8,,
2024-11-10,Colaba,83.8,101.5,29.8,48.4,83.8,,
2024-11-10,Kurla,40.2,63.8,26.5,43.6,65.4,,
2024-11-10,Powai,56.4,85.3,35.3,31.0,70.7,,
2024-11-11,Bandra,99.3,129.3,33.1,56.1,99.3,,
2024-11-11,Colaba,71.2,101.9,29.3,29.0,71.2,,
2024-11-11,Kurla,51.7,81.0,28.2,43.2,64.7,,
2024-11-11,Powai,57.4,98.7,18.0,30.3,57.4,,
2024-11-12,Bandra,64.3,83.4,20.3,30.0,64.3,,
2024-11-12,Colaba,73.6,98.7,42.3,32.7,84.5,,
2024-11-12,Kurla,56.1,81.4,25.4,19.1,56.1,,
2024-11-12,Powai,74.0,95.6,27.5,24.4,74.0,,
2024-12-01,Bandra,61.8,106.5,15.9,37.7,61.8,,
2024-12-01,Colaba,30.4,53.2,21.3,52.7,79.0,,
2024-12-01,Kurla,32.6,82.5,32.3,41.3,64.6,,
2024-12-01,Powai,83.5,110.7,22.3,46.0,83.5,,
2024-12-02,Bandra,47.1,87.4,22.3,35.2,52.7,,
2024-12-02,Colaba,55.1,77.6,17.9,30.2,55.1,,
2024-12-02,Kurla,80.8,116.7,24.0,47.0,80.8,,
2024-12-02,Powai,38.6,85.8,17.8,42.6,63.9,,
2024-12-03,Bandra,63.8,103.8,3.4,48.1,72.2,,
2024-12-03,Colaba,102.7,113.1,23.8,47.1,102.7,,
2024-12-03,Kurla,93.3,138.6,30.9,61.4,93.3,,
2024-12-03,Powai,73.9,114.9,31.9,43.0,73.9,,
2024-12-04,Bandra,53.8,91.6,35.5,56.7,85.1,,
2024-12-04,Colaba,62.4,97.6,30.7,26.5,62.4,,
2024-12-04,Kurla,32.7,61.2,29.0,61.6,92.3,,
2024-12-04,Powai,70.1,99.6,13.8,31.5,70.1,,
2024-12-05,Bandra,83.8,120.9,27.8,52.8,83.8,,
2024-12-05,Colaba,65.2,86.2,30.1,20.1,65.2,,
2024-12-05,Kurla,81.8,108.0,25.2,25.9,81.8,,
2024-12-05,Powai,93.3,126.3,29.7,57.0,93.3,,
2024-12-06,Bandra,55.4,75.5,4.5,37.7,56.6,,
2024-12-06,Colaba,54.6,73.6,45.6,40.7,91.2,,
2024-12-06,Kurla,102.5,145.8,40.4,25.3,102.5,,
2024-12-06,Powai,76.6,117.3,8.4,39.7,76.6,,
2024-12-07,Bandra,60.3,80.7,21.7,48.2,72.4,,
2024-12-07,Colaba,72.6,112.4,30.0,21.2,72.6,,
2024-12-07,Kurla,81.3,125.8,17.7,30.0,81.3,,
2024-12-07,Powai,75.9,115.6,21.0,38.2,75.9,,
2024-12-08,Bandra,39.4,55.9,12.8,53.4,80.0,,
2024-12-08,Colaba,56.7,88.1,34.7,30.2,69.3,,
2024-12-08,Kurla,46.6,88.3,15.6,45.9,68.8,,
2024-12-08,Powai,47.9,87.0,37.6,45.5,75.2,,
2024-12-09,Bandra,49.0,87.6,21.9,39.5,59.2,,
2024-12-09,Colaba,70.5,94.7,24.8,65.7,98.6,,
2024-12-09,Kurla,54.4,71.6,29.1,30.0,58.2,,
2024-12-09,Powai,44.7,83.5,19.3,47.7,71.6,,
2024-12-10,Bandra,47.5,75.7,20.2,13.5,47.5,,
2024-12-10,Colaba,54.0,97.8,23.8,41.5,62.3,,
2024-12-10,Kurla,36.2,76.8,29.6,31.5,59.2,,
2024-12-10,Powai,86.3,118.4,23.7,70.0,105.0,,
2024-12-11,Bandra,45.2,70.3,34.8,60.2,90.3,,
2024-12-11,Colaba,63.4,79.3,24.1,29.2,63.4,,
2024-12-11,Kurla,85.7,91.4,5.9,34.0,85.7,,
2024-12-11,Powai,80.2,109.8,36.0,31.9,80.2,,
2024-12-12,Bandra,47.8,72.5,20.6,50.0,75.0,,
2024-12-12,Colaba,74.8,107.8,35.4,58.7,88.1,,
2024-12-12,Kurla,69.9,103.7,21.7,52.1,78.1,,
2024-12-12,Powai,69.0,95.5,25.2,48.4,72.6,,
